datetime,from_stop,to_stop,riders,total_km,order_type,station_from,station_to
2023-03-22,Wisma Shell Bus Stop(12192),MRT Cyberjaya City Centre Bus Stop(11799),2,2.2,on-demand,12192,11799
2023-03-06,Star Grocer Cybersquare(11824),Putrajaya Central (Cyberjaya)(11798),1,5.74,advanced booking,11824,11798
2023-03-27,Cyberia Gate 2(11858),D'Pulze Cyberjaya Bus Stop(11806),1,2.0,on-demand,11858,11806
2023-03-17,University of Cyberjaya (UoC)(11829),Mutiara Ville Residence-Persiaran Sepang(11853),1,2.19,on-demand,11829,11853
2023-03-29,"Surau Al-Hidayah (Bus Stop), MMU(11828)",D'Pulze Cyberjaya Bus Stop(11806),1,0.99,on-demand,11828,11806
2023-03-14,Putrajaya Central (Cyberjaya)(11798),McDonald's - Cyber 5 Bus Stop(12191),1,5.33,on-demand,11798,12191
2023-03-18,Gem In Mall(11800),MRT Cyberjaya City Centre Bus Stop(11799),1,4.94,on-demand,11800,11799
2023-03-19,Shaftsbusry Square Bus Stop(11808),D'Pulze Cyberjaya Bus Stop(11806),1,1.95,on-demand,11808,11806
2023-03-02,Kenwingston Square Garden (Main Lobby)(11804),Shaftsbusry Square Bus Stop(11808),1,5.01,on-demand,11804,11808
2023-03-26,Mutiara Ville Residence-Persiaran Sepang(11853),D'Pulze Cyberjaya Bus Stop(11806),1,2.37,on-demand,11853,11806
2023-03-21,Cyberia Smart Homes Guard House Gate A(11857),MRT Cyberjaya City Centre Bus Stop(11799),1,4.43,on-demand,11857,11799
2023-03-29,MRT Cyberjaya Utara Station Bus Stop(12327),LakeFront Residence (Entrance)(11850),1,5.92,advanced booking,12327,11850
2023-03-17,Putrajaya Central (Cyberjaya)(11798),The Arc Cyberjaya (Bus Stop)(11855),1,7.28,on-demand,11798,11855
2023-03-24,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),2,2.54,on-demand,11829,11800
2023-03-09,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),1,8.34,on-demand,11853,11798
2023-03-06,Cyberia Smart Homes Guard House Gate A(11857),Putrajaya Central (Cyberjaya)(11798),1,7.46,advanced booking,11857,11798
2023-03-12,D'Pulze Cyberjaya Bus Stop(11806),Tamarind Square Bus Stop(11807),2,2.03,on-demand,11806,11807
2023-03-11,Wisma Shell Bus Stop(12192),Shaftsbusry Square Bus Stop(11808),1,2.54,on-demand,12192,11808
2023-03-24,University of Cyberjaya (UoC)(11829),Bank Islam Cyberjaya (CBD Perdana 2)(11820),1,2.7,advanced booking,11829,11820
2023-03-13,Shaftsbusry Square Bus Stop(11808),Putrajaya Central (Cyberjaya)(11798),1,6.33,on-demand,11808,11798
2023-03-14,Sports Arena Cyberjaya(11814),Cyberia Gate 2(11858),1,3.78,advanced booking,11814,11858
2023-03-15,University of Cyberjaya (UoC)(11829),The Arc Cyberjaya (Bus Stop)(11855),2,1.49,on-demand,11829,11855
2023-03-15,Garden Plaza(11863),Sports Arena Cyberjaya(11814),2,4.52,advanced booking,11863,11814
2023-03-07,University of Cyberjaya (UoC)(11829),Tamarind Square Bus Stop(11807),1,1.93,on-demand,11829,11807
2023-03-29,Kanvas SOHO (Bus Stop)(11825),Shaftsbusry Square Bus Stop(11808),1,2.09,on-demand,11825,11808
2023-03-23,Cyberjaya Smart School Complex(Bus Stop)(11870),MRT Cyberjaya City Centre Bus Stop(11799),1,4.29,on-demand,11870,11799
2023-03-06,The Arc Cyberjaya (Bus Stop)(11855),Verdi Eco-dominiums(11846),1,1.64,on-demand,11855,11846
2023-03-24,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),1,2.54,on-demand,11829,11800
2023-03-27,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),1,2.54,on-demand,11829,11800
2023-03-30,D'Pulze Cyberjaya Bus Stop(11806),MRT Cyberjaya City Centre Bus Stop(11799),1,3.57,on-demand,11806,11799
2023-03-30,Cyberia Smart Homes Guard House Gate A(11857),Putrajaya Central (Cyberjaya)(11798),1,7.46,on-demand,11857,11798
2023-03-01,Putrajaya Central (Cyberjaya)(11798),"SP 68 UNIMY Bus Stop, Persiaran APEC(11884)",1,0.0,on-demand,11798,11884
2023-03-12,Putrajaya Central (Cyberjaya)(11798),Gem In Mall(11800),1,7.88,on-demand,11798,11800
2023-03-01,Wisma Shell Bus Stop(12192),The Arc Cyberjaya (Bus Stop)(11855),2,3.37,on-demand,12192,11855
2023-03-21,Gem In Mall(11800),University of Cyberjaya (UoC)(11829),1,1.36,on-demand,11800,11829
2023-03-19,Putrajaya Central (Cyberjaya)(11798),Park & Ride Putrajaya Sentral (Cyberjaya(12224),2,0.73,on-demand,11798,12224
2023-03-29,The Arc Cyberjaya (Bus Stop)(11855),University of Cyberjaya (UoC)(11829),1,0.6,on-demand,11855,11829
2023-03-29,Shaftsbusry Square Bus Stop(11808),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,2.54,on-demand,11808,11828
2023-03-21,Sports Arena Cyberjaya(11814),The Arc Cyberjaya (Bus Stop)(11855),1,3.68,on-demand,11814,11855
2023-03-12,Putrajaya Central (Cyberjaya)(11798),"CUCMS Bus Stop, Persiaran Teknokrat 3(11879)",2,4.32,on-demand,11798,11879
2023-03-21,Lim Kok Weng University (Barat) Bus Stop(11831),Domain 1(11869),1,4.62,on-demand,11831,11869
2023-03-02,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),1,3.2,on-demand,12216,11855
2023-03-08,Cottage Walk Bus Stop(11822),Cyberia Smart Homes Guard House Gate A(11857),1,2.88,advanced booking,11822,11857
2023-03-26,Shaftsbusry Square Bus Stop(11808),D'Pulze Cyberjaya Bus Stop(11806),2,1.95,advanced booking,11808,11806
2023-03-27,"Surau Al-Hidayah (Bus Stop), MMU(11828)",Serin Residency (Main Entrance)(11839),2,1.7,on-demand,11828,11839
2023-03-07,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),1,2.1,on-demand,11855,11806
2023-03-28,Sports Arena Cyberjaya(11814),Garden Plaza(11863),2,5.01,advanced booking,11814,11863
2023-03-27,Gem In Mall(11800),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,1.0,on-demand,11800,11828
2023-03-22,Putrajaya Central (Cyberjaya)(11798),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,6.77,on-demand,11798,11828
2023-03-08,"Surau Al-Hidayah (Bus Stop), MMU(11828)",Park & Ride Putrajaya Sentral (Cyberjaya(12224),1,7.03,on-demand,11828,12224
2023-03-13,Lim Kok Weng University (Barat) Bus Stop(11831),The Arc Cyberjaya (Bus Stop)(11855),1,5.21,on-demand,11831,11855
2023-03-23,The Arc Cyberjaya (Bus Stop)(11855),Putrajaya Central (Cyberjaya)(11798),1,8.07,on-demand,11855,11798
2023-03-28,The Arc Cyberjaya (Bus Stop)(11855),Putrajaya Central (Cyberjaya)(11798),1,8.07,on-demand,11855,11798
2023-03-17,UNIKOP(12216),Lim Kok Weng University (Barat) Bus Stop(11831),3,2.65,on-demand,12216,11831
2023-03-27,Star Grocer Cybersquare(11824),Garden Plaza(11863),1,4.51,on-demand,11824,11863
2023-03-30,"Surau Al-Hidayah (Bus Stop), MMU(11828)",D'Pulze Cyberjaya Bus Stop(11806),1,0.99,on-demand,11828,11806
2023-03-07,UNIKOP(12216),Lim Kok Weng University (Barat) Bus Stop(11831),2,2.65,on-demand,12216,11831
2023-03-08,Putrajaya Central (Cyberjaya)(11798),Sports Arena Cyberjaya(11814),1,6.07,on-demand,11798,11814
2023-03-30,"Surau Al-Hidayah (Bus Stop), MMU(11828)",Tan'Yaa Hotel by Ri-Yaz(12307),1,1.92,on-demand,11828,12307
2023-03-13,The Arc Cyberjaya (Bus Stop)(11855),MMU (Chancellery Building Bus Stop)(12325),1,1.95,on-demand,11855,12325
2023-03-06,Mutiara Ville Residence-Persiaran Sepang(11853),Cyberjaya Smart School Complex(Bus Stop)(11870),1,2.63,on-demand,11853,11870
2023-03-02,D'Pulze Cyberjaya Bus Stop(11806),Cyberia Smart Homes Guard House Gate A(11857),4,1.79,on-demand,11806,11857
2023-03-17,Putrajaya Central (Cyberjaya)(11798),D'Pulze Cyberjaya Bus Stop(11806),2,6.18,on-demand,11798,11806
2023-03-15,The Arc Cyberjaya (Bus Stop)(11855),UNIKOP(12216),3,3.55,on-demand,11855,12216
2023-03-28,MRT Cyberjaya Utara Station Bus Stop(12327),Garden Plaza(11863),1,2.4,advanced booking,12327,11863
2023-03-09,Shaftsbusry Square Bus Stop(11808),The Arc Cyberjaya (Bus Stop)(11855),1,3.33,on-demand,11808,11855
2023-03-15,Star Grocer Cybersquare(11824),Putrajaya Central (Cyberjaya)(11798),1,5.74,advanced booking,11824,11798
2023-03-27,The Arc Cyberjaya (Bus Stop)(11855),University of Cyberjaya (UoC)(11829),1,0.6,on-demand,11855,11829
2023-03-02,Tamarind Square Bus Stop(11807),Putrajaya Central (Cyberjaya)(11798),1,7.84,on-demand,11807,11798
2023-03-18,The Arc Cyberjaya (Bus Stop)(11855),Shaftsbusry Square Bus Stop(11808),1,4.13,advanced booking,11855,11808
2023-03-23,"CUCMS Bus Stop, Persiaran Teknokrat 3(11879)",Futurise Center(11757),1,3.52,on-demand,11879,11757
2023-03-19,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),1,2.1,on-demand,11855,11806
2023-03-28,University of Cyberjaya (UoC)(11829),Malakat Mall (11810),1,2.16,on-demand,11829,11810
2023-03-20,D'Pulze Cyberjaya Bus Stop(11806),Ceria Residence Cyberjaya (Entrance)(11848),1,3.05,on-demand,11806,11848
2023-03-18,The Arc Cyberjaya (Bus Stop)(11855),MRT Cyberjaya City Centre Bus Stop(11799),1,4.81,on-demand,11855,11799
2023-03-31,Gem In Mall(11800),MRT Cyberjaya City Centre Bus Stop(11799),1,4.94,on-demand,11800,11799
2023-03-18,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),2,8.34,on-demand,11853,11798
2023-03-20,University of Cyberjaya (UoC)(11829),Cyberia Crescent 1 Condo (Main Entrance)(11841),1,2.9,on-demand,11829,11841
2023-03-05,D'Pulze Cyberjaya Bus Stop(11806),Tamarind Square Bus Stop(11807),2,2.03,on-demand,11806,11807
2023-03-15,Mutiara Ville Residence-Persiaran Sepang(11853),University of Cyberjaya (UoC)(11829),1,1.74,on-demand,11853,11829
2023-03-27,Putrajaya Central (Cyberjaya)(11798),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,6.77,on-demand,11798,11828
2023-03-09,Tamarind Square Bus Stop(11807),D'Pulze Cyberjaya Bus Stop(11806),1,1.86,on-demand,11807,11806
2023-03-16,University of Cyberjaya (UoC)(11829),Cristal Serin Residence (Main Entrance)(11840),1,3.69,on-demand,11829,11840
2023-03-15,The Arc Cyberjaya (Bus Stop)(11855),Star Grocer Cybersquare(11824),1,3.03,on-demand,11855,11824
2023-03-01,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),4,3.2,on-demand,12216,11855
2023-03-29,Gem In Mall(11800),Cyberia Gate 2(11858),1,0.87,on-demand,11800,11858
2023-03-08,Cyberia Gate 2(11858),Star Grocer Cybersquare(11824),1,2.92,on-demand,11858,11824
2023-03-21,Tamarind Square Bus Stop(11807),Cyberjaya Smart School Complex(Bus Stop)(11870),1,2.12,on-demand,11807,11870
2023-03-31,D'Pulze Cyberjaya Bus Stop(11806),"SP 52 UNIMY Bus Stop, Persiaran Apec(11883)",1,2.0,on-demand,11806,11883
2023-03-23,Tamarind Square Bus Stop(11807),Masjid Fisabillah Bus Stop(11812),1,2.54,advanced booking,11807,11812
2023-03-22,Gem In Mall(11800),Putrajaya Central (Cyberjaya)(11798),1,7.97,on-demand,11800,11798
2023-03-04,Cyberia Smart Homes Guard House Gate A(11857),D'Pulze Cyberjaya Bus Stop(11806),1,1.48,advanced booking,11857,11806
2023-03-29,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),1,6.26,on-demand,11798,11808
2023-03-18,Cyberia Gate 2(11858),Tamarind Square Bus Stop(11807),3,0.6,on-demand,11858,11807
2023-03-12,Cyberia Crescent 1 Condo (Main Entrance)(11841),Star Grocer Cybersquare(11824),1,3.69,on-demand,11841,11824
2023-03-07,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),1,2.1,advanced booking,11855,11806
2023-03-08,"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",The Arc Cyberjaya (Bus Stop)(11855),1,2.76,on-demand,11821,11855
2023-03-02,D'Pulze Cyberjaya Bus Stop(11806),Cyberjaya Smart School Complex(Bus Stop)(11870),1,1.4,on-demand,11806,11870
2023-03-22,University of Cyberjaya (UoC)(11829),Tamarind Square Bus Stop(11807),1,1.93,on-demand,11829,11807
2023-03-19,Cyberia Smart Homes Guard House Gate A(11857),Taman Tasik Cyberjaya Roundabout Entranc(11815),2,1.87,on-demand,11857,11815
2023-03-07,LakeFront Residence (Entrance)(11850),McDonald's - Cyber 5 Bus Stop(12191),2,3.94,on-demand,11850,12191
2023-03-31,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),1,1.99,on-demand,11800,11806
2023-03-08,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),1,6.26,on-demand,11798,11808
2023-03-12,Gem In Mall(11800),The Arc Cyberjaya (Bus Stop)(11855),1,0.77,on-demand,11800,11855
2023-03-01,Star Grocer Cybersquare(11824),The Arc Cyberjaya (Bus Stop)(11855),2,2.87,on-demand,11824,11855
2023-03-13,Putrajaya Central (Cyberjaya)(11798),Futurise Center(11757),1,5.48,on-demand,11798,11757
2023-03-09,UNIKOP(12216),Cyberia Gate 2(11858),1,3.04,on-demand,12216,11858
2023-03-16,UNIKOP(12216),Cyberia Gate 2(11858),1,3.04,on-demand,12216,11858
2023-03-22,The Arc Cyberjaya (Bus Stop)(11855),MRT Putrajaya Sentral Bus Stop(12321),1,0.0,on-demand,11855,12321
2023-03-01,D'Pulze Cyberjaya Bus Stop(11806),Gem In Mall(11800),2,2.64,on-demand,11806,11800
2023-03-24,UNIKOP(12216),MRT Cyberjaya City Centre Bus Stop(11799),1,2.02,on-demand,12216,11799
2023-03-06,Cyberia Crescent 1 Condo (Main Entrance)(11841),UNIKOP(12216),1,4.21,on-demand,11841,12216
2023-03-28,"MMU Bus Stop, Persiaran Multimedia(11827)",Mutiara Ville Residence-Persiaran Sepang(11853),1,1.47,on-demand,11827,11853
2023-03-25,Tan'Yaa Hotel by Ri-Yaz(12307),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,2.06,on-demand,12307,11828
2023-03-20,Mutiara Ville Residence-Persiaran Sepang(11853),Malakat Mall (11810),2,2.9,on-demand,11853,11810
2023-03-17,Gem In Mall(11800),UNIKOP(12216),1,3.35,on-demand,11800,12216
2023-03-11,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),2,2.1,on-demand,11855,11806
2023-03-13,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),1,1.99,on-demand,11800,11806
2023-03-03,Garden Plaza(11863),"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",1,3.76,on-demand,11863,11821
2023-03-16,Gem In Mall(11800),Jom Corner (J Corner) Bus Stop(11823),1,2.19,on-demand,11800,11823
2023-03-03,University of Cyberjaya (UoC)(11829),Mutiara Ville Residence-Persiaran Sepang(11853),1,2.19,on-demand,11829,11853
2023-03-30,D'Pulze Cyberjaya Bus Stop(11806),Gem In Mall(11800),1,2.64,on-demand,11806,11800
2023-03-22,UNIKOP(12216),MRT Cyberjaya City Centre Bus Stop(11799),1,2.02,on-demand,12216,11799
2023-03-01,Cyberia Smart Homes Guard House Gate A(11857),D'Pulze Cyberjaya Bus Stop(11806),1,1.48,on-demand,11857,11806
2023-03-06,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),1,1.99,on-demand,11800,11806
2023-03-14,University of Cyberjaya (UoC)(11829),D'Pulze Cyberjaya Bus Stop(11806),2,2.72,on-demand,11829,11806
2023-03-03,"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",SP 39 Perdana Lakeview East (Bus Stop)(11877),1,2.15,on-demand,11821,11877
2023-03-14,Cyberjaya Smart School Complex(Bus Stop)(11870),Shaftsbusry Square Bus Stop(11808),1,3.37,on-demand,11870,11808
2023-03-02,"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",Putrajaya Central (Cyberjaya)(11798),1,6.23,on-demand,11821,11798
2023-03-22,University of Cyberjaya (UoC)(11829),Mutiara Ville Residence-Persiaran Sepang(11853),1,2.19,on-demand,11829,11853
2023-03-26,Serin Residency (Main Entrance)(11839),CBD Perdana 1 (Saba Restaurant)(11819),1,1.95,on-demand,11839,11819
2023-03-06,Mutiara Ville Residence-Persiaran Sepang(11853),Bank Islam Cyberjaya (CBD Perdana 2)(11820),2,2.79,on-demand,11853,11820
2023-03-24,The Arc Cyberjaya (Bus Stop)(11855),Masjid Fisabillah Bus Stop(11812),2,2.08,on-demand,11855,11812
2023-03-22,University of Cyberjaya (UoC)(11829),MRT Cyberjaya Utara Station Bus Stop(12327),1,5.42,on-demand,11829,12327
2023-03-27,Serin Residency (Main Entrance)(11839),D'Pulze Cyberjaya Bus Stop(11806),1,1.57,on-demand,11839,11806
2023-03-11,CBD Perdana 1 (Saba Restaurant)(11819),Serin Residency (Main Entrance)(11839),2,2.23,on-demand,11819,11839
2023-03-02,Shaftsbusry Square Bus Stop(11808),Bank Islam Cyberjaya (CBD Perdana 2)(11820),1,1.63,on-demand,11808,11820
2023-03-28,University of Cyberjaya (UoC)(11829),Putrajaya Central (Cyberjaya)(11798),1,9.99,on-demand,11829,11798
2023-03-24,Tapak Urban Street(11801),The Arc Cyberjaya (Bus Stop)(11855),2,3.89,on-demand,11801,11855
2023-03-13,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),4,2.54,on-demand,11829,11800
2023-03-01,Putrajaya Central (Cyberjaya)(11798),The Arc Cyberjaya (Bus Stop)(11855),1,7.28,on-demand,11798,11855
2023-03-31,Tapak Urban Street(11801),Domain 1(11869),5,1.96,on-demand,11801,11869
2023-03-02,UNIKOP(12216),Tamarind Square Bus Stop(11807),1,3.16,on-demand,12216,11807
2023-03-01,Cristal Serin Residence (Main Entrance)(11840),D'Pulze Cyberjaya Bus Stop(11806),5,1.84,on-demand,11840,11806
2023-03-14,Cyberia Gate 2(11858),Lim Kok Weng University (Barat) Bus Stop(11831),1,5.07,on-demand,11858,11831
2023-03-30,Shaftsbusry Square Bus Stop(11808),Putrajaya Central (Cyberjaya)(11798),1,6.33,on-demand,11808,11798
2023-03-08,Putrajaya Central (Cyberjaya)(11798),D'Pulze Cyberjaya Bus Stop(11806),1,6.18,on-demand,11798,11806
2023-03-27,Shaftsbusry Square Bus Stop(11808),The Arc Cyberjaya (Bus Stop)(11855),1,3.33,on-demand,11808,11855
2023-03-06,The Arc Cyberjaya (Bus Stop)(11855),Putrajaya Central (Cyberjaya)(11798),1,8.07,on-demand,11855,11798
2023-03-04,LakeFront Residence (Entrance)(11850),D'Pulze Cyberjaya Bus Stop(11806),3,3.33,on-demand,11850,11806
2023-03-31,Gem In Mall(11800),HSBC Group Service Centre (Bus Stop)(11833),1,2.28,on-demand,11800,11833
2023-03-24,"SP 52 UNIMY Bus Stop, Persiaran Apec(11883)",Domain 1(11869),1,1.99,on-demand,11883,11869
2023-03-18,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),2,2.31,on-demand,11806,11855
2023-03-08,Tamarind Square Bus Stop(11807),University of Cyberjaya (UoC)(11829),1,1.23,advanced booking,11807,11829
2023-03-18,Gem In Mall(11800),Shaftsbusry Square Bus Stop(11808),1,4.03,on-demand,11800,11808
2023-03-22,Cyberjaya Smart School Complex(Bus Stop)(11870),Shaftsbusry Square Bus Stop(11808),1,3.37,advanced booking,11870,11808
2023-03-07,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),2,1.99,on-demand,11800,11806
2023-03-15,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),4,2.54,on-demand,11829,11800
2023-03-12,McDonald's - Cyber 5 Bus Stop(12191),The Arc Cyberjaya (Bus Stop)(11855),1,2.55,on-demand,12191,11855
2023-03-06,Shaftsbusry Square Bus Stop(11808),Garden Plaza(11863),1,4.67,advanced booking,11808,11863
2023-03-16,University of Cyberjaya (UoC)(11829),Tamarind Square Bus Stop(11807),1,1.93,on-demand,11829,11807
2023-03-27,McDonald's - Cyber 5 Bus Stop(12191),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,1.76,on-demand,12191,11828
2023-03-14,UNIKOP(12216),Cyberia Gate 2(11858),4,3.04,on-demand,12216,11858
2023-03-08,Kenwingston Square Garden (Main Lobby)(11804),The Arc Cyberjaya (Bus Stop)(11855),2,1.77,on-demand,11804,11855
2023-03-07,Putrajaya Central (Cyberjaya)(11798),Cyberia Crescent 1 Condo (Main Entrance)(11841),1,6.98,on-demand,11798,11841
2023-03-27,University of Cyberjaya (UoC)(11829),Mutiara Ville Residence-Persiaran Sepang(11853),5,2.19,on-demand,11829,11853
2023-03-21,"Surau Al-Hidayah (Bus Stop), MMU(11828)",Lakefront Homes(11849),1,3.32,on-demand,11828,11849
2023-03-11,The Arc Cyberjaya (Bus Stop)(11855),Tamarind Square Bus Stop(11807),1,0.7,on-demand,11855,11807
2023-03-02,Putrajaya Central (Cyberjaya)(11798),Ceria Residence Cyberjaya (Entrance)(11848),1,7.53,advanced booking,11798,11848
2023-03-15,Cyberia Smart Homes Guard House Gate A(11857),UNIKOP(12216),1,2.94,on-demand,11857,12216
2023-03-12,LakeFront Residence (Entrance)(11850),D'Pulze Cyberjaya Bus Stop(11806),1,3.33,on-demand,11850,11806
2023-03-20,Serin Residency (Main Entrance)(11839),D'Pulze Cyberjaya Bus Stop(11806),1,1.57,on-demand,11839,11806
2023-03-19,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),1,2.31,on-demand,11806,11855
2023-03-24,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),1,2.1,on-demand,11855,11806
2023-03-18,Garden Plaza(11863),MRT Cyberjaya City Centre Bus Stop(11799),2,3.39,on-demand,11863,11799
2023-03-21,Cyberia Crescent 1 Condo (Main Entrance)(11841),UNIKOP(12216),1,4.21,on-demand,11841,12216
2023-03-31,Star Central(11803),MRT Cyberjaya City Centre Bus Stop(11799),1,3.88,on-demand,11803,11799
2023-03-13,Malakat Mall (11810),Tamarind Square Bus Stop(11807),2,1.96,on-demand,11810,11807
2023-03-30,Serin Residency (Main Entrance)(11839),Lim Kok Weng University (Barat) Bus Stop(11831),1,5.18,on-demand,11839,11831
2023-03-30,University of Cyberjaya (UoC)(11829),Cristal Serin Residence (Main Entrance)(11840),1,3.69,on-demand,11829,11840
2023-03-15,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),1,3.2,on-demand,12216,11855
2023-03-09,Lim Kok Weng University (Barat) Bus Stop(11831),"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",1,2.72,on-demand,11831,11821
2023-03-19,Star Grocer Cybersquare(11824),Malakat Mall (11810),1,2.05,on-demand,11824,11810
2023-03-04,Cyberia Smart Homes Guard House Gate A(11857),Putrajaya Central (Cyberjaya)(11798),1,7.46,on-demand,11857,11798
2023-03-23,Gem In Mall(11800),MRT Cyberjaya City Centre Bus Stop(11799),3,4.94,on-demand,11800,11799
2023-03-30,MRT Cyberjaya City Centre Bus Stop(11799),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,4.17,on-demand,11799,11828
2023-03-17,Domain 1(11869),Tamarind Square Bus Stop(11807),2,1.84,on-demand,11869,11807
2023-03-24,Cyberjaya Smart School Complex(Bus Stop)(11870),Cyberia Crescent 1 Condo (Main Entrance)(11841),1,1.62,advanced booking,11870,11841
2023-03-09,Garden Plaza(11863),Sports Arena Cyberjaya(11814),2,4.52,advanced booking,11863,11814
2023-03-25,MRT Cyberjaya Utara Station Bus Stop(12327),The Arc Cyberjaya (Bus Stop)(11855),1,6.05,on-demand,12327,11855
2023-03-16,The Arc Cyberjaya (Bus Stop)(11855),McDonald's - Cyber 5 Bus Stop(12191),1,2.71,on-demand,11855,12191
2023-03-06,"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",The Arc Cyberjaya (Bus Stop)(11855),1,2.76,on-demand,11821,11855
2023-03-31,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),1,2.31,on-demand,11806,11855
2023-03-19,Tamarind Square Bus Stop(11807),Putrajaya Central (Cyberjaya)(11798),5,7.84,on-demand,11807,11798
2023-03-14,Prima Avenue 1 Bus Stop(11818),Putrajaya Central (Cyberjaya)(11798),1,6.07,on-demand,11818,11798
2023-03-01,The Arc Cyberjaya (Bus Stop)(11855),UNIKOP(12216),2,3.55,on-demand,11855,12216
2023-03-10,Cyberia Smart Homes Guard House Gate A(11857),Cottage Walk Bus Stop(11822),1,2.5,on-demand,11857,11822
2023-03-10,McDonald's - Cyber 5 Bus Stop(12191),Cyberjaya Smart School Complex(Bus Stop)(11870),1,1.63,advanced booking,12191,11870
2023-03-19,Shaftsbusry Square Bus Stop(11808),Neo Cyber(11817),4,2.88,on-demand,11808,11817
2023-03-16,The Arc Cyberjaya (Bus Stop)(11855),UNIKOP(12216),1,3.55,on-demand,11855,12216
2023-03-15,Putrajaya Central (Cyberjaya)(11798),Cyberia Gate 2(11858),1,7.13,on-demand,11798,11858
2023-03-12,"MMU Bus Stop, Persiaran Multimedia(11827)",Shaftsbusry Square Bus Stop(11808),1,3.21,on-demand,11827,11808
2023-03-22,Mutiara Ville Residence-Persiaran Sepang(11853),University of Cyberjaya (UoC)(11829),2,1.74,on-demand,11853,11829
2023-03-24,Masjid Fisabillah Bus Stop(11812),The Arc Cyberjaya (Bus Stop)(11855),2,3.13,on-demand,11812,11855
2023-03-01,The Arc Cyberjaya (Bus Stop)(11855),Domain 1(11869),1,2.92,on-demand,11855,11869
2023-03-09,D'Pulze Cyberjaya Bus Stop(11806),Cyberia Crescent 1 Condo (Main Entrance)(11841),1,2.97,on-demand,11806,11841
2023-03-29,Gem In Mall(11800),MRT Cyberjaya Utara Station Bus Stop(12327),1,6.26,on-demand,11800,12327
2023-03-03,Cyberia Gate 2(11858),Putrajaya Central (Cyberjaya)(11798),1,7.97,on-demand,11858,11798
2023-03-01,The Arc Cyberjaya (Bus Stop)(11855),Kanvas SOHO (Bus Stop)(11825),1,3.64,on-demand,11855,11825
2023-03-09,Shaftsbusry Square Bus Stop(11808),Tamarind Square Bus Stop(11807),1,3.05,on-demand,11808,11807
2023-03-24,Mutiara Ville Residence-Persiaran Sepang(11853),University of Cyberjaya (UoC)(11829),2,1.74,on-demand,11853,11829
2023-03-31,The Arc Cyberjaya (Bus Stop)(11855),MRT Cyberjaya City Centre Bus Stop(11799),3,4.81,on-demand,11855,11799
2023-03-18,Cyberia Gate 2(11858),CBD Perdana 1 (Saba Restaurant)(11819),1,2.38,on-demand,11858,11819
2023-03-08,Futurise Center(11757),Cyberia Smart Homes Guard House Gate A(11857),1,4.03,on-demand,11757,11857
2023-03-01,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),1,8.34,on-demand,11853,11798
2023-03-22,D'Pulze Cyberjaya Bus Stop(11806),Gem In Mall(11800),2,2.64,on-demand,11806,11800
