datetime,from_stop,to_stop,riders,total_km,order_type,station_from,station_to
2023-02-10,Wisma Shell Bus Stop(12192),The Arc Cyberjaya (Bus Stop)(11855),1,3.37,on-demand,12192,11855
2023-02-11,Mutiara Ville Residence-Persiaran Sepang(11853),D'Pulze Cyberjaya Bus Stop(11806),1,2.37,on-demand,11853,11806
2023-02-09,Star Central(11803),Shaftsbusry Square Bus Stop(11808),2,2.45,on-demand,11803,11808
2023-02-16,Shaftsbusry Square Bus Stop(11808),D'Pulze Cyberjaya Bus Stop(11806),1,1.95,on-demand,11808,11806
2023-02-10,The Arc Cyberjaya (Bus Stop)(11855),Kanvas SOHO (Bus Stop)(11825),1,3.64,on-demand,11855,11825
2023-02-25,The Arc Cyberjaya (Bus Stop)(11855),Kanvas SOHO (Bus Stop)(11825),1,3.64,on-demand,11855,11825
2023-02-14,"Kompleks TM Bus Stop, Persiaran Sepang(11881)",Putrajaya Central (Cyberjaya)(11798),1,6.64,on-demand,11881,11798
2023-02-24,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),2,8.34,on-demand,11853,11798
2023-02-11,Century Square Bus Stop(11809),Mutiara Ville Residence-Persiaran Sepang(11853),1,3.84,on-demand,11809,11853
2023-02-10,Cyberia Gate 2(11858),Star Central(11803),1,3.16,on-demand,11858,11803
2023-02-02,Mutiara Ville Residence-Persiaran Sepang(11853),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,1.38,on-demand,11853,11828
2023-02-02,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),1,8.34,on-demand,11853,11798
2023-02-19,Gem In Mall(11800),Putrajaya Central (Cyberjaya)(11798),2,7.97,on-demand,11800,11798
2023-02-17,D'Pulze Cyberjaya Bus Stop(11806),Putrajaya Central (Cyberjaya)(11798),1,6.62,on-demand,11806,11798
2023-02-09,Cyberia Smart Homes Guard House Gate A(11857),Kenwingston Square Garden (Main Lobby)(11804),1,1.85,on-demand,11857,11804
2023-02-01,The Arc Cyberjaya (Bus Stop)(11855),McDonald's @ Edusphere Cyberjaya(12217),2,1.26,on-demand,11855,12217
2023-02-01,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),2,2.54,on-demand,11829,11800
2023-02-18,Wisma Shell Bus Stop(12192),Putrajaya Central (Cyberjaya)(11798),1,7.1,advanced booking,12192,11798
2023-02-28,McDonald's - Cyber 5 Bus Stop(12191),UNIKOP(12216),3,1.24,on-demand,12191,12216
2023-02-08,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),3,3.2,on-demand,12216,11855
2023-02-08,Putrajaya Central (Cyberjaya)(11798),The Arc Cyberjaya (Bus Stop)(11855),1,7.28,advanced booking,11798,11855
2023-02-06,Putrajaya Central (Cyberjaya)(11798),Mutiara Ville Residence-Persiaran Sepang(11853),1,7.99,on-demand,11798,11853
2023-02-14,D'Pulze Cyberjaya Bus Stop(11806),Putrajaya Central (Cyberjaya)(11798),1,6.62,on-demand,11806,11798
2023-02-12,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),2,1.99,on-demand,11800,11806
2023-02-16,McDonald's @ Edusphere Cyberjaya(12217),Gem In Mall(11800),2,2.03,on-demand,12217,11800
2023-02-28,Sejati Residences(11838),Putrajaya Central (Cyberjaya)(11798),1,6.85,on-demand,11838,11798
2023-02-21,Neo Cyber(11817),The Arc Cyberjaya (Bus Stop)(11855),2,2.44,on-demand,11817,11855
2023-02-17,D'Pulze Cyberjaya Bus Stop(11806),Garden Plaza(11863),1,5.4,on-demand,11806,11863
2023-02-09,"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",Putrajaya Central (Cyberjaya)(11798),1,6.23,on-demand,11821,11798
2023-02-22,Cottage Walk Bus Stop(11822),The Arc Cyberjaya (Bus Stop)(11855),2,3.4,on-demand,11822,11855
2023-02-15,"Surau Al-Hidayah (Bus Stop), MMU(11828)",Tamarind Square Bus Stop(11807),1,1.64,on-demand,11828,11807
2023-02-11,D'Pulze Cyberjaya Bus Stop(11806),Cyberia Smart Homes Guard House Gate A(11857),1,1.79,on-demand,11806,11857
2023-02-10,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),3,2.1,on-demand,11855,11806
2023-02-02,The Arc Cyberjaya (Bus Stop)(11855),Putrajaya Central (Cyberjaya)(11798),1,8.07,on-demand,11855,11798
2023-02-15,Cyberia Gate 2(11858),Star Central(11803),1,3.16,on-demand,11858,11803
2023-02-24,Cyberia Smart Homes Guard House Gate A(11857),HSBC Group Service Centre (Bus Stop)(11833),1,1.77,on-demand,11857,11833
2023-02-15,Cyberia Gate 2(11858),UNIKOP(12216),1,3.45,on-demand,11858,12216
2023-02-08,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),1,2.1,on-demand,11855,11806
2023-02-05,D'Pulze Cyberjaya Bus Stop(11806),Gem In Mall(11800),3,2.64,on-demand,11806,11800
2023-02-22,Cyber Heights Villa(11871),Lim Kok Weng University (Barat) Bus Stop(11831),1,5.34,on-demand,11871,11831
2023-02-25,University of Cyberjaya (UoC)(11829),Lim Kok Weng University (Barat) Bus Stop(11831),1,4.51,on-demand,11829,11831
2023-02-14,D'Pulze Cyberjaya Bus Stop(11806),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,1.52,on-demand,11806,11828
2023-02-17,Cristal Serin Residence (Main Entrance)(11840),Putrajaya Central (Cyberjaya)(11798),3,6.41,on-demand,11840,11798
2023-02-02,Gem In Mall(11800),"MMU Bus Stop, Persiaran Multimedia(11827)",1,0.81,on-demand,11800,11827
2023-02-16,D'Pulze Cyberjaya Bus Stop(11806),"Surau Al-Hidayah (Bus Stop), MMU(11828)",2,1.52,on-demand,11806,11828
2023-02-20,Park & Ride Putrajaya Sentral (Cyberjaya(12224),Cyberjaya Smart School Complex(Bus Stop)(11870),1,5.78,on-demand,12224,11870
2023-02-20,McDonald's - Cyber 5 Bus Stop(12191),Cyberia Smart Homes Guard House Gate A(11857),1,2.03,on-demand,12191,11857
2023-02-21,Mutiara Ville Residence-Persiaran Sepang(11853),Shaftsbusry Square Bus Stop(11808),1,4.4,on-demand,11853,11808
2023-02-09,Putrajaya Central (Cyberjaya)(11798),UNIKOP(12216),1,4.63,on-demand,11798,12216
2023-02-09,Cyberia Gate 2(11858),Neo Cyber(11817),1,2.64,on-demand,11858,11817
2023-02-27,McDonald's - Cyber 5 Bus Stop(12191),Cyberia Gate 2(11858),1,2.66,on-demand,12191,11858
2023-02-28,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),1,6.26,on-demand,11798,11808
2023-02-27,D'Pulze Cyberjaya Bus Stop(11806),Gem In Mall(11800),1,2.64,on-demand,11806,11800
2023-02-16,The Arc Cyberjaya (Bus Stop)(11855),UNIKOP(12216),1,3.55,on-demand,11855,12216
2023-02-12,D'Pulze Cyberjaya Bus Stop(11806),Mutiara Ville Residence-Persiaran Sepang(11853),1,2.74,on-demand,11806,11853
2023-02-01,Putrajaya Central (Cyberjaya)(11798),Jom Corner (J Corner) Bus Stop(11823),1,5.96,on-demand,11798,11823
2023-02-05,Cyberia Gate 2(11858),Putrajaya Central (Cyberjaya)(11798),1,7.97,on-demand,11858,11798
2023-02-24,Star Central(11803),Garden Plaza(11863),1,5.72,on-demand,11803,11863
2023-02-11,D'Pulze Cyberjaya Bus Stop(11806),Tamarind Square Bus Stop(11807),4,2.03,on-demand,11806,11807
2023-02-11,LakeFront Residence (Entrance)(11850),Star Grocer Cybersquare(11824),1,4.26,on-demand,11850,11824
2023-02-23,Kanvas SOHO (Bus Stop)(11825),The Arc Cyberjaya (Bus Stop)(11855),1,3.49,on-demand,11825,11855
2023-02-09,University of Cyberjaya (UoC)(11829),D'Pulze Cyberjaya Bus Stop(11806),3,2.72,on-demand,11829,11806
2023-02-17,University of Cyberjaya (UoC)(11829),Putrajaya Central (Cyberjaya)(11798),1,9.99,on-demand,11829,11798
2023-02-18,The Arc Cyberjaya (Bus Stop)(11855),Putrajaya Central (Cyberjaya)(11798),1,8.07,on-demand,11855,11798
2023-02-28,Cyberia Gate 2(11858),Star Central(11803),2,3.16,advanced booking,11858,11803
