month,origin,destination,origin_label,destination_label,origin_line_code,destination_line_code,origin_line,destination_line,flow_type,ridership,origin_rank,destination_rank,ridership_k
2026-01,KG15: Muzium Negara,KG21: Cochrane,Muzium Negara,Cochrane,KG,KG,MRT Kajang,MRT Kajang,Same line,11420,11,12,11.42
2026-01,KG15: Muzium Negara,KG22: Maluri,Muzium Negara,Maluri,KG,KG,MRT Kajang,MRT Kajang,Same line,22561,11,5,22.561
2026-01,KG15: Muzium Negara,KJ03: Wangsa Maju,Muzium Negara,Wangsa Maju,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,205,11,14,0.205
2026-01,KG15: Muzium Negara,KJ09: Ampang Park,Muzium Negara,Ampang Park,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,194,11,7,0.194
2026-01,KG15: Muzium Negara,KJ10: KLCC,Muzium Negara,KLCC,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1025,11,2,1.025
2026-01,KG15: Muzium Negara,KJ14: Pasar Seni,Muzium Negara,Pasar Seni,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,5448,11,8,5.448
2026-01,KG15: Muzium Negara,KJ15: KL Sentral,Muzium Negara,KL Sentral,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,109,11,3,0.109
2026-01,KG15: Muzium Negara,KJ16: Bank Rakyat Bangsar,Muzium Negara,Bank Rakyat Bangsar,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,64,11,15,0.064
2026-01,KG15: Muzium Negara,KJ17: Abdullah Hukum,Muzium Negara,Abdullah Hukum,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,143,11,6,0.143
2026-01,KG15: Muzium Negara,MR06: Bukit Bintang,Muzium Negara,Bukit Bintang,KG,MR,MRT Kajang,Monorail,Inter-line,2,11,9,0.002
2026-01,KG18: Bukit Bintang,AG07: Masjid Jamek,Bukit Bintang,Masjid Jamek,KG,AG,MRT Kajang,Ampang,Inter-line,4487,1,10,4.487
2026-01,KG18: Bukit Bintang,KG09: Bandar Utama,Bukit Bintang,Bandar Utama,KG,KG,MRT Kajang,MRT Kajang,Same line,19905,1,13,19.905
2026-01,KG18: Bukit Bintang,KG15: Muzium Negara,Bukit Bintang,Muzium Negara,KG,KG,MRT Kajang,MRT Kajang,Same line,23995,1,11,23.995
2026-01,KG18: Bukit Bintang,KG20: Tun Razak Exchange,Bukit Bintang,Tun Razak Exchange,KG,KG,MRT Kajang,MRT Kajang,Same line,61651,1,4,61.651
2026-01,KG18: Bukit Bintang,KG21: Cochrane,Bukit Bintang,Cochrane,KG,KG,MRT Kajang,MRT Kajang,Same line,44105,1,12,44.105
2026-01,KG18: Bukit Bintang,KG22: Maluri,Bukit Bintang,Maluri,KG,KG,MRT Kajang,MRT Kajang,Same line,64572,1,5,64.572
2026-01,KG18: Bukit Bintang,KJ03: Wangsa Maju,Bukit Bintang,Wangsa Maju,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,6672,1,14,6.672
2026-01,KG18: Bukit Bintang,KJ09: Ampang Park,Bukit Bintang,Ampang Park,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,664,1,7,0.664
2026-01,KG18: Bukit Bintang,KJ10: KLCC,Bukit Bintang,KLCC,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,9158,1,2,9.158
2026-01,KG18: Bukit Bintang,KJ14: Pasar Seni,Bukit Bintang,Pasar Seni,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,39010,1,8,39.01
2026-01,KG18: Bukit Bintang,KJ15: KL Sentral,Bukit Bintang,KL Sentral,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,4666,1,3,4.666
2026-01,KG18: Bukit Bintang,KJ16: Bank Rakyat Bangsar,Bukit Bintang,Bank Rakyat Bangsar,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,5420,1,15,5.42
2026-01,KG18: Bukit Bintang,KJ17: Abdullah Hukum,Bukit Bintang,Abdullah Hukum,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,7609,1,6,7.609
2026-01,KG18: Bukit Bintang,MR06: Bukit Bintang,Bukit Bintang,Bukit Bintang,KG,MR,MRT Kajang,Monorail,Inter-line,26,1,9,0.026
2026-01,KG20: Tun Razak Exchange,AG07: Masjid Jamek,Tun Razak Exchange,Masjid Jamek,KG,AG,MRT Kajang,Ampang,Inter-line,1571,4,10,1.571
2026-01,KG20: Tun Razak Exchange,KG09: Bandar Utama,Tun Razak Exchange,Bandar Utama,KG,KG,MRT Kajang,MRT Kajang,Same line,10661,4,13,10.661
2026-01,KG20: Tun Razak Exchange,KG15: Muzium Negara,Tun Razak Exchange,Muzium Negara,KG,KG,MRT Kajang,MRT Kajang,Same line,15410,4,11,15.41
2026-01,KG20: Tun Razak Exchange,KG18: Bukit Bintang,Tun Razak Exchange,Bukit Bintang,KG,KG,MRT Kajang,MRT Kajang,Same line,67419,4,1,67.419
2026-01,KG20: Tun Razak Exchange,KG21: Cochrane,Tun Razak Exchange,Cochrane,KG,KG,MRT Kajang,MRT Kajang,Same line,38906,4,12,38.906
2026-01,KG20: Tun Razak Exchange,KG22: Maluri,Tun Razak Exchange,Maluri,KG,KG,MRT Kajang,MRT Kajang,Same line,41756,4,5,41.756
2026-01,KG20: Tun Razak Exchange,KJ03: Wangsa Maju,Tun Razak Exchange,Wangsa Maju,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1120,4,14,1.12
