origin,destination,od_pair,fare_rm,time_min,route,transfer_count,transfer_group,fare_label,time_label
Dang Wangi,Kota Damansara,Dang Wangi → Kota Damansara,4.1,30.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kota Damansara],1,1+ transfer,RM 4.10,30 min
Dang Wangi,Surian,Dang Wangi → Surian,3.9,27.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Surian],1,1+ transfer,RM 3.90,27 min
Dang Wangi,Mutiara Damansara,Dang Wangi → Mutiara Damansara,4.0,24.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Mutiara Damansara],1,1+ transfer,RM 4.00,24 min
Dang Wangi,Bandar Utama,Dang Wangi → Bandar Utama,3.7,22.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bandar Utama],1,1+ transfer,RM 3.70,22 min
Dang Wangi,TTDI,Dang Wangi → TTDI,3.4,19.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > TTDI],1,1+ transfer,RM 3.40,19 min
Dang Wangi,Phileo Damansara,Dang Wangi → Phileo Damansara,3.4,16.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Phileo Damansara],1,1+ transfer,RM 3.40,16 min
Dang Wangi,Pusat Bandar Damansara,Dang Wangi → Pusat Bandar Damansara,2.4,12.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Pusat Bandar Damansara],1,1+ transfer,RM 2.40,12 min
Dang Wangi,Semantan,Dang Wangi → Semantan,2.4,10.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Semantan],1,1+ transfer,RM 2.40,10 min
Dang Wangi,Muzium Negara,Dang Wangi → Muzium Negara,1.8,6.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Muzium Negara],1,1+ transfer,RM 1.80,6 min
Dang Wangi,Pasar Seni (SBK),Dang Wangi → Pasar Seni (SBK),1.4,4.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Pasar Seni (SBK)],1,1+ transfer,RM 1.40,4 min
Dang Wangi,Merdeka,Dang Wangi → Merdeka,1.4,5.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Merdeka],1,1+ transfer,RM 1.40,5 min
Dang Wangi,Bukit Bintang,Dang Wangi → Bukit Bintang,1.7,8.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bukit Bintang],1,1+ transfer,RM 1.70,8 min
Dang Wangi,Tun Razak Exchange (TRX),Dang Wangi → Tun Razak Exchange (TRX),2.1,10.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Tun Razak Exchange (TRX)],1,1+ transfer,RM 2.10,10 min
Dang Wangi,Cochrane,Dang Wangi → Cochrane,2.4,13.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Cochrane],1,1+ transfer,RM 2.40,13 min
Dang Wangi,Maluri (SBK),Dang Wangi → Maluri (SBK),2.4,14.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Maluri (SBK)],1,1+ transfer,RM 2.40,14 min
Dang Wangi,Taman Pertama,Dang Wangi → Taman Pertama,2.8,18.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Pertama],1,1+ transfer,RM 2.80,18 min
Dang Wangi,Taman Midah,Dang Wangi → Taman Midah,3.2,20.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Midah],1,1+ transfer,RM 3.20,20 min
Dang Wangi,Taman Mutiara,Dang Wangi → Taman Mutiara,3.5,22.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Mutiara],1,1+ transfer,RM 3.50,22 min
Dang Wangi,Taman Connaught,Dang Wangi → Taman Connaught,3.8,25.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Connaught],1,1+ transfer,RM 3.80,25 min
Dang Wangi,Taman Suntex,Dang Wangi → Taman Suntex,4.3,27.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Suntex],1,1+ transfer,RM 4.30,27 min
Dang Wangi,Sri Raya,Dang Wangi → Sri Raya,4.2,30.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sri Raya],1,1+ transfer,RM 4.20,30 min
Dang Wangi,Bandar Tun Hussein Onn,Dang Wangi → Bandar Tun Hussein Onn,4.5,32.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bandar Tun Hussein Onn],1,1+ transfer,RM 4.50,32 min
Dang Wangi,Batu 11 Cheras,Dang Wangi → Batu 11 Cheras,4.7,34.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Batu 11 Cheras],1,1+ transfer,RM 4.70,34 min
Dang Wangi,Bukit Dukung,Dang Wangi → Bukit Dukung,4.6,37.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bukit Dukung],1,1+ transfer,RM 4.60,37 min
Dang Wangi,Sungai Jernih,Dang Wangi → Sungai Jernih,5.1,41.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sungai Jernih],1,1+ transfer,RM 5.10,41 min
Dang Wangi,Stadium Kajang,Dang Wangi → Stadium Kajang,5.2,42.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Stadium Kajang],1,1+ transfer,RM 5.20,42 min
Dang Wangi,Kajang,Dang Wangi → Kajang,4.8,45.0,KJL[Dang Wangi > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kajang],1,1+ transfer,RM 4.80,45 min
